<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.01	00:00:00	1.13670	1.13707	1.13585	1.13597	4202	0	8
2019.07.01	03:00:00	1.13597	1.13636	1.13476	1.13517	5060	0	8
2019.07.01	06:00:00	1.13518	1.13530	1.13213	1.13281	4461	0	4
2019.07.01	09:00:00	1.13281	1.13329	1.13161	1.13303	12196	0	8
2019.07.01	12:00:00	1.13302	1.13597	1.13205	1.13473	10110	0	8
2019.07.01	15:00:00	1.13474	1.13558	1.13208	1.13239	12067	0	5
2019.07.01	18:00:00	1.13239	1.13248	1.12806	1.12829	8962	0	8
2019.07.01	21:00:00	1.12829	1.12887	1.12818	1.12851	3381	0	2
2019.07.02	00:00:00	1.12850	1.12891	1.12798	1.12864	2336	0	5
2019.07.02	03:00:00	1.12864	1.12871	1.12748	1.12794	2959	0	5
2019.07.02	06:00:00	1.12794	1.12915	1.12775	1.12906	2645	0	5
2019.07.02	09:00:00	1.12906	1.12992	1.12853	1.12932	8038	0	8
2019.07.02	12:00:00	1.12932	1.13212	1.12890	1.12958	9661	0	8
2019.07.02	15:00:00	1.12958	1.13027	1.12857	1.12942	8157	0	8
2019.07.02	18:00:00	1.12942	1.13116	1.12912	1.13008	8831	0	8
2019.07.02	21:00:00	1.13008	1.13008	1.12818	1.12857	4919	0	3
2019.07.03	00:00:00	1.12847	1.12918	1.12836	1.12900	2268	0	2
2019.07.03	03:00:00	1.12901	1.12948	1.12856	1.12914	3997	0	8
2019.07.03	06:00:00	1.12914	1.12930	1.12846	1.12891	2906	0	5
2019.07.03	09:00:00	1.12891	1.12894	1.12682	1.12880	9234	0	8
2019.07.03	12:00:00	1.12879	1.12995	1.12828	1.12907	7284	0	8
2019.07.03	15:00:00	1.12907	1.13111	1.12763	1.12807	15068	0	8
2019.07.03	18:00:00	1.12807	1.12844	1.12715	1.12785	6114	0	8
2019.07.03	21:00:00	1.12785	1.12805	1.12753	1.12774	1575	0	3
2019.07.04	00:00:00	1.12777	1.12879	1.12768	1.12869	1330	0	2
2019.07.04	03:00:00	1.12869	1.12947	1.12818	1.12832	2063	0	8
2019.07.04	06:00:00	1.12832	1.12868	1.12814	1.12834	1475	0	4
2019.07.04	09:00:00	1.12834	1.12895	1.12786	1.12794	4628	0	8
2019.07.04	12:00:00	1.12794	1.12897	1.12769	1.12861	4299	0	8
2019.07.04	15:00:00	1.12861	1.12883	1.12727	1.12813	3459	0	8
2019.07.04	18:00:00	1.12813	1.12844	1.12789	1.12821	1677	0	4
2019.07.04	21:00:00	1.12821	1.12853	1.12821	1.12847	951	0	3
2019.07.05	00:00:00	1.12837	1.12874	1.12821	1.12849	1110	0	3
2019.07.05	03:00:00	1.12849	1.12857	1.12774	1.12814	1704	0	3
2019.07.05	06:00:00	1.12814	1.12841	1.12775	1.12787	1623	0	4
2019.07.05	09:00:00	1.12788	1.12813	1.12609	1.12619	7020	0	8
2019.07.05	12:00:00	1.12619	1.12678	1.12554	1.12583	6191	0	8
2019.07.05	15:00:00	1.12583	1.12701	1.12070	1.12218	20204	0	8
2019.07.05	18:00:00	1.12218	1.12233	1.12076	1.12181	6716	0	8
2019.07.05	21:00:00	1.12181	1.12278	1.12171	1.12248	2897	0	6
2019.07.08	00:00:00	1.12240	1.12292	1.12236	1.12267	1641	0	2
2019.07.08	03:00:00	1.12267	1.12297	1.12196	1.12259	2711	0	2
2019.07.08	06:00:00	1.12260	1.12326	1.12250	1.12298	2048	0	2
2019.07.08	09:00:00	1.12297	1.12343	1.12194	1.12314	5526	0	2
2019.07.08	12:00:00	1.12313	1.12326	1.12132	1.12207	4278	0	2
2019.07.08	15:00:00	1.12207	1.12269	1.12095	1.12148	7452	0	2
2019.07.08	18:00:00	1.12148	1.12207	1.12069	1.12152	4327	0	2
2019.07.08	21:00:00	1.12152	1.12168	1.12082	1.12142	2656	0	1
2019.07.09	00:00:00	1.12141	1.12174	1.12132	1.12150	1473	0	2
2019.07.09	03:00:00	1.12150	1.12187	1.12096	1.12120	2032	0	2
2019.07.09	06:00:00	1.12120	1.12181	1.12106	1.12137	1564	0	2
2019.07.09	09:00:00	1.12138	1.12141	1.11961	1.11986	6447	0	2
2019.07.09	12:00:00	1.11986	1.12087	1.11932	1.12027	4553	0	2
2019.07.09	15:00:00	1.12027	1.12107	1.12004	1.12056	7286	0	2
2019.07.09	18:00:00	1.12056	1.12138	1.11998	1.12107	5284	0	2
2019.07.09	21:00:00	1.12107	1.12119	1.12032	1.12078	2220	0	2
2019.07.10	00:00:00	1.12076	1.12085	1.12040	1.12043	1439	0	2
2019.07.10	03:00:00	1.12042	1.12102	1.12018	1.12100	2168	0	2
2019.07.10	06:00:00	1.12100	1.12105	1.12060	1.12097	1465	0	2
2019.07.10	09:00:00	1.12097	1.12269	1.12034	1.12252	8394	0	2
2019.07.10	12:00:00	1.12252	1.12294	1.12121	1.12134	6971	0	2
2019.07.10	15:00:00	1.12134	1.12569	1.12127	1.12527	17795	0	2
2019.07.10	18:00:00	1.12526	1.12642	1.12427	1.12537	9495	0	2
2019.07.10	21:00:00	1.12538	1.12616	1.12499	1.12503	4071	0	2
2019.07.11	00:00:00	1.12503	1.12601	1.12498	1.12581	2718	0	2
2019.07.11	03:00:00	1.12582	1.12729	1.12580	1.12728	3615	0	2
2019.07.11	06:00:00	1.12728	1.12808	1.12695	1.12697	3240	0	2
2019.07.11	09:00:00	1.12697	1.12782	1.12667	1.12734	7654	0	2
2019.07.11	12:00:00	1.12735	1.12787	1.12640	1.12772	7199	0	2
2019.07.11	15:00:00	1.12772	1.12857	1.12507	1.12524	14986	0	2
2019.07.11	18:00:00	1.12525	1.12625	1.12451	1.12516	10071	0	2
2019.07.11	21:00:00	1.12515	1.12610	1.12513	1.12532	4795	0	1
2019.07.12	00:00:00	1.12532	1.12587	1.12495	1.12497	3443	0	3
2019.07.12	03:00:00	1.12498	1.12674	1.12493	1.12658	3018	0	2
2019.07.12	06:00:00	1.12658	1.12748	1.12640	1.12732	2597	0	2
2019.07.12	09:00:00	1.12733	1.12747	1.12614	1.12629	8652	0	2
2019.07.12	12:00:00	1.12629	1.12671	1.12460	1.12469	8833	0	2
2019.07.12	15:00:00	1.12469	1.12537	1.12383	1.12518	11164	0	2
2019.07.12	18:00:00	1.12517	1.12701	1.12496	1.12674	6770	0	2
2019.07.12	21:00:00	1.12674	1.12740	1.12665	1.12699	3414	0	2
2019.07.15	00:00:00	1.12654	1.12744	1.12645	1.12709	2948	0	2
2019.07.15	03:00:00	1.12709	1.12745	1.12642	1.12705	3815	0	2
2019.07.15	06:00:00	1.12705	1.12744	1.12640	1.12730	2609	0	2
2019.07.15	09:00:00	1.12730	1.12837	1.12695	1.12727	7568	0	2
2019.07.15	12:00:00	1.12727	1.12838	1.12613	1.12634	5235	0	2
2019.07.15	15:00:00	1.12634	1.12733	1.12559	1.12614	8024	0	2
2019.07.15	18:00:00	1.12615	1.12637	1.12531	1.12566	4092	0	2
2019.07.15	21:00:00	1.12566	1.12601	1.12559	1.12577	1894	0	2
2019.07.16	00:00:00	1.12574	1.12631	1.12573	1.12600	3478	0	2
2019.07.16	03:00:00	1.12600	1.12630	1.12552	1.12627	2792	0	2
2019.07.16	06:00:00	1.12627	1.12634	1.12577	1.12583	1453	0	2
2019.07.16	09:00:00	1.12585	1.12618	1.12358	1.12448	7562	0	2
2019.07.16	12:00:00	1.12448	1.12456	1.12175	1.12218	7056	0	2
2019.07.16	15:00:00	1.12218	1.12242	1.12074	1.12237	10969	0	2
2019.07.16	18:00:00	1.12238	1.12243	1.12028	1.12099	7523	0	2
2019.07.16	21:00:00	1.12099	1.12123	1.12018	1.12103	4206	0	1
2019.07.17	00:00:00	1.12102	1.12129	1.12092	1.12117	1597	0	2
2019.07.17	03:00:00	1.12117	1.12150	1.12068	1.12122	2717	0	2
2019.07.17	06:00:00	1.12122	1.12173	1.12097	1.12158	1558	0	2
2019.07.17	09:00:00	1.12158	1.12158	1.11997	1.12106	6885	0	2
2019.07.17	12:00:00	1.12106	1.12220	1.12105	1.12175	4789	0	2
2019.07.17	15:00:00	1.12175	1.12268	1.12095	1.12251	8034	0	2
2019.07.17	18:00:00	1.12251	1.12336	1.12226	1.12268	5354	0	2
2019.07.17	21:00:00	1.12268	1.12310	1.12190	1.12242	3203	0	2
2019.07.18	00:00:00	1.12237	1.12298	1.12232	1.12271	1678	0	3
2019.07.18	03:00:00	1.12272	1.12407	1.12255	1.12389	4015	0	2
2019.07.18	06:00:00	1.12389	1.12415	1.12359	1.12393	1989	0	2
2019.07.18	09:00:00	1.12393	1.12440	1.12337	1.12394	7968	0	2
2019.07.18	12:00:00	1.12394	1.12398	1.12051	1.12192	10361	0	2
2019.07.18	15:00:00	1.12192	1.12252	1.12120	1.12179	10985	0	2
2019.07.18	18:00:00	1.12179	1.12370	1.12152	1.12344	4990	0	2
2019.07.18	21:00:00	1.12344	1.12804	1.12332	1.12765	11327	0	2
2019.07.19	00:00:00	1.12766	1.12820	1.12400	1.12609	4974	0	2
2019.07.19	03:00:00	1.12609	1.12684	1.12588	1.12675	4715	0	2
2019.07.19	06:00:00	1.12675	1.12682	1.12547	1.12565	2554	0	2
2019.07.19	09:00:00	1.12565	1.12654	1.12502	1.12511	7694	0	2
2019.07.19	12:00:00	1.12511	1.12523	1.12305	1.12322	7339	0	2
2019.07.19	15:00:00	1.12320	1.12387	1.12171	1.12217	10299	0	2
2019.07.19	18:00:00	1.12217	1.12297	1.12143	1.12240	8027	0	2
2019.07.19	21:00:00	1.12240	1.12250	1.12033	1.12194	7772	0	1
2019.07.22	00:00:00	1.12140	1.12193	1.12140	1.12175	2119	0	2
2019.07.22	03:00:00	1.12175	1.12200	1.12075	1.12175	4653	0	2
2019.07.22	06:00:00	1.12175	1.12209	1.12143	1.12183	2333	0	2
2019.07.22	09:00:00	1.12183	1.12239	1.12118	1.12172	7554	0	2
2019.07.22	12:00:00	1.12172	1.12245	1.12069	1.12082	5728	0	2
2019.07.22	15:00:00	1.12082	1.12252	1.12070	1.12220	7802	0	2
2019.07.22	18:00:00	1.12219	1.12240	1.12119	1.12183	4432	0	2
2019.07.22	21:00:00	1.12186	1.12187	1.12062	1.12094	3521	0	2
2019.07.23	00:00:00	1.12093	1.12096	1.12037	1.12041	1575	0	2
2019.07.23	03:00:00	1.12041	1.12079	1.11941	1.11991	3676	0	2
2019.07.23	06:00:00	1.11991	1.12001	1.11888	1.11892	2651	0	2
2019.07.23	09:00:00	1.11893	1.11959	1.11807	1.11829	6515	0	2
2019.07.23	12:00:00	1.11829	1.11848	1.11718	1.11726	5242	0	2
2019.07.23	15:00:00	1.11726	1.11752	1.11485	1.11485	7872	0	2
2019.07.23	18:00:00	1.11482	1.11580	1.11475	1.11535	5145	0	2
2019.07.23	21:00:00	1.11535	1.11539	1.11458	1.11517	3515	0	2
2019.07.24	00:00:00	1.11516	1.11548	1.11495	1.11507	1560	0	2
2019.07.24	03:00:00	1.11507	1.11520	1.11431	1.11452	3123	0	2
2019.07.24	06:00:00	1.11452	1.11477	1.11409	1.11474	1450	0	2
2019.07.24	09:00:00	1.11474	1.11555	1.11269	1.11384	9159	0	2
2019.07.24	12:00:00	1.11384	1.11551	1.11355	1.11410	6340	0	2
2019.07.24	15:00:00	1.11409	1.11557	1.11391	1.11422	7600	0	2
2019.07.24	18:00:00	1.11426	1.11506	1.11390	1.11406	4749	0	2
2019.07.24	21:00:00	1.11406	1.11407	1.11329	1.11399	2667	0	2
2019.07.25	00:00:00	1.11400	1.11435	1.11391	1.11419	1993	0	2
2019.07.25	03:00:00	1.11419	1.11420	1.11335	1.11355	3009	0	2
2019.07.25	06:00:00	1.11355	1.11364	1.11328	1.11354	1594	0	2
2019.07.25	09:00:00	1.11355	1.11371	1.11220	1.11291	4660	0	2
2019.07.25	12:00:00	1.11291	1.11614	1.11130	1.11143	8632	0	2
2019.07.25	15:00:00	1.11143	1.11877	1.11013	1.11600	24302	0	2
2019.07.25	18:00:00	1.11599	1.11613	1.11262	1.11448	8958	0	2
2019.07.25	21:00:00	1.11449	1.11508	1.11430	1.11467	4090	0	2
2019.07.26	00:00:00	1.11464	1.11485	1.11446	1.11447	1227	0	2
2019.07.26	03:00:00	1.11447	1.11501	1.11422	1.11483	2902	0	2
2019.07.26	06:00:00	1.11483	1.11509	1.11435	1.11455	1563	0	2
2019.07.26	09:00:00	1.11452	1.11470	1.11320	1.11357	5860	0	2
2019.07.26	12:00:00	1.11357	1.11472	1.11300	1.11348	3743	0	2
2019.07.26	15:00:00	1.11348	1.11442	1.11161	1.11267	11468	0	2
2019.07.26	18:00:00	1.11267	1.11272	1.11118	1.11244	6488	0	2
2019.07.26	21:00:00	1.11244	1.11325	1.11236	1.11270	2985	0	2
2019.07.29	00:00:00	1.11253	1.11325	1.11219	1.11294	1117	0	2
2019.07.29	03:00:00	1.11294	1.11387	1.11286	1.11319	2228	0	2
2019.07.29	06:00:00	1.11319	1.11322	1.11257	1.11273	1494	0	2
2019.07.29	09:00:00	1.11273	1.11274	1.11169	1.11232	4050	0	2
2019.07.29	12:00:00	1.11232	1.11284	1.11138	1.11189	4299	0	2
2019.07.29	15:00:00	1.11188	1.11386	1.11129	1.11319	8065	0	2
2019.07.29	18:00:00	1.11319	1.11435	1.11281	1.11420	5132	0	2
2019.07.29	21:00:00	1.11419	1.11509	1.11396	1.11443	3343	0	2
2019.07.30	00:00:00	1.11443	1.11471	1.11421	1.11423	1791	0	2
2019.07.30	03:00:00	1.11424	1.11441	1.11334	1.11420	3666	0	2
2019.07.30	06:00:00	1.11420	1.11442	1.11329	1.11329	3313	0	2
2019.07.30	09:00:00	1.11329	1.11493	1.11321	1.11467	7704	0	2
2019.07.30	12:00:00	1.11467	1.11531	1.11395	1.11509	5872	0	2
2019.07.30	15:00:00	1.11509	1.11597	1.11379	1.11380	9567	0	2
2019.07.30	18:00:00	1.11382	1.11554	1.11381	1.11530	5587	0	2
2019.07.30	21:00:00	1.11530	1.11609	1.11526	1.11545	3357	0	2
2019.07.31	00:00:00	1.11548	1.11584	1.11538	1.11568	2722	0	3
2019.07.31	03:00:00	1.11568	1.11590	1.11478	1.11530	3434	0	2
2019.07.31	06:00:00	1.11530	1.11578	1.11525	1.11568	1621	0	2
2019.07.31	09:00:00	1.11568	1.11620	1.11430	1.11441	6839	0	2
2019.07.31	12:00:00	1.11440	1.11512	1.11434	1.11501	4977	0	2
2019.07.31	15:00:00	1.11501	1.11527	1.11309	1.11337	11025	0	2
2019.07.31	18:00:00	1.11335	1.11381	1.11203	1.11365	9286	0	2
2019.07.31	21:00:00	1.11365	1.11387	1.10601	1.10749	26461	0	2
2019.08.01	00:00:00	1.10749	1.10815	1.10689	1.10714	3636	0	2
2019.08.01	03:00:00	1.10714	1.10718	1.10335	1.10493	9295	0	2
2019.08.01	06:00:00	1.10492	1.10537	1.10429	1.10515	3455	0	2
2019.08.01	09:00:00	1.10514	1.10527	1.10321	1.10471	9973	0	2
2019.08.01	12:00:00	1.10471	1.10502	1.10269	1.10342	9781	0	2
2019.08.01	15:00:00	1.10342	1.10622	1.10269	1.10578	15976	0	2
2019.08.01	18:00:00	1.10578	1.10957	1.10560	1.10827	18364	0	2
2019.08.01	21:00:00	1.10827	1.10943	1.10755	1.10847	17489	0	2
2019.08.02	00:00:00	1.10849	1.10851	1.10743	1.10789	4861	0	2
2019.08.02	03:00:00	1.10789	1.10965	1.10699	1.10751	13904	0	2
2019.08.02	06:00:00	1.10751	1.10841	1.10706	1.10795	5813	0	2
2019.08.02	09:00:00	1.10794	1.11150	1.10790	1.10959	16972	0	2
2019.08.02	12:00:00	1.10959	1.11068	1.10880	1.11035	9783	0	2
2019.08.02	15:00:00	1.11035	1.11074	1.10783	1.11026	24907	0	2
2019.08.02	18:00:00	1.11024	1.11163	1.10981	1.11064	10865	0	2
2019.08.02	21:00:00	1.11063	1.11133	1.11039	1.11050	7302	0	2
2019.08.05	00:00:00	1.11032	1.11138	1.11027	1.11077	3238	0	2
2019.08.05	03:00:00	1.11078	1.11325	1.11065	1.11223	14640	0	2
2019.08.05	06:00:00	1.11223	1.11319	1.11222	1.11255	5974	0	2
2019.08.05	09:00:00	1.11256	1.11475	1.11140	1.11467	12771	0	2
2019.08.05	12:00:00	1.11467	1.11805	1.11415	1.11796	11334	0	2
2019.08.05	15:00:00	1.11796	1.12000	1.11701	1.11852	13598	0	2
2019.08.05	18:00:00	1.11852	1.12131	1.11793	1.12042	14422	0	2
2019.08.05	21:00:00	1.12042	1.12071	1.11936	1.12033	8269	0	2
2019.08.06	00:00:00	1.12034	1.12450	1.11937	1.12419	7522	0	2
2019.08.06	03:00:00	1.12419	1.12495	1.12236	1.12279	11325	0	2
2019.08.06	06:00:00	1.12278	1.12289	1.11900	1.11968	9629	0	2
2019.08.06	09:00:00	1.11968	1.12185	1.11968	1.11990	14414	0	2
2019.08.06	12:00:00	1.11990	1.12052	1.11824	1.11846	7431	0	2
2019.08.06	15:00:00	1.11846	1.11878	1.11673	1.11824	12773	0	2
2019.08.06	18:00:00	1.11821	1.12057	1.11821	1.11944	11486	0	2
2019.08.06	21:00:00	1.11944	1.12065	1.11907	1.11980	7462	0	2
2019.08.07	00:00:00	1.11980	1.12057	1.11962	1.12054	2638	0	2
2019.08.07	03:00:00	1.12054	1.12195	1.12042	1.12094	10384	0	2
2019.08.07	06:00:00	1.12095	1.12169	1.12037	1.12062	5791	0	2
2019.08.07	09:00:00	1.12062	1.12073	1.11869	1.11908	9001	0	2
2019.08.07	12:00:00	1.11905	1.11999	1.11790	1.11981	8407	0	2
2019.08.07	15:00:00	1.11980	1.12407	1.11910	1.12158	23734	0	2
2019.08.07	18:00:00	1.12158	1.12419	1.12101	1.12166	20979	0	2
2019.08.07	21:00:00	1.12166	1.12225	1.11982	1.11982	12974	0	2
2019.08.08	00:00:00	1.11980	1.12067	1.11969	1.12040	9381	0	2
2019.08.08	03:00:00	1.12040	1.12136	1.12007	1.12099	8705	0	2
2019.08.08	06:00:00	1.12099	1.12129	1.12080	1.12120	3015	0	2
2019.08.08	09:00:00	1.12120	1.12277	1.12002	1.12145	8033	0	2
2019.08.08	12:00:00	1.12145	1.12204	1.11858	1.11879	7021	0	2
2019.08.08	15:00:00	1.11877	1.12327	1.11811	1.11997	19233	0	2
2019.08.08	18:00:00	1.11997	1.12197	1.11986	1.12001	11611	0	2
2019.08.08	21:00:00	1.12001	1.12047	1.11768	1.11801	7310	0	2
2019.08.09	00:00:00	1.11802	1.11931	1.11793	1.11860	2992	0	2
2019.08.09	03:00:00	1.11860	1.11971	1.11850	1.11962	4116	0	2
2019.08.09	06:00:00	1.11962	1.11978	1.11929	1.11964	1799	0	2
2019.08.09	09:00:00	1.11964	1.11980	1.11833	1.11940	6743	0	2
2019.08.09	12:00:00	1.11940	1.12079	1.11931	1.12032	6900	0	2
2019.08.09	15:00:00	1.12031	1.12045	1.11881	1.12008	11717	0	2
2019.08.09	18:00:00	1.12008	1.12229	1.11996	1.12040	13650	0	2
2019.08.09	21:00:00	1.12040	1.12076	1.11997	1.11998	5278	0	2
2019.08.12	00:00:00	1.11977	1.12080	1.11973	1.12073	2381	0	2
2019.08.12	03:00:00	1.12073	1.12097	1.12018	1.12079	4684	0	2
2019.08.12	06:00:00	1.12079	1.12111	1.12058	1.12108	2859	0	2
2019.08.12	09:00:00	1.12106	1.12106	1.11619	1.11757	12215	0	2
2019.08.12	12:00:00	1.11757	1.12000	1.11727	1.11885	10120	0	2
2019.08.12	15:00:00	1.11886	1.12206	1.11870	1.12180	10327	0	2
2019.08.12	18:00:00	1.12180	1.12306	1.12095	1.12139	8275	0	2
2019.08.12	21:00:00	1.12139	1.12234	1.12099	1.12131	5079	0	2
2019.08.13	00:00:00	1.12129	1.12198	1.12123	1.12161	5504	0	2
2019.08.13	03:00:00	1.12161	1.12165	1.11861	1.11911	5841	0	2
2019.08.13	06:00:00	1.11911	1.11945	1.11817	1.11931	4915	0	2
2019.08.13	09:00:00	1.11930	1.11984	1.11855	1.11916	9070	0	2
2019.08.13	12:00:00	1.11915	1.12214	1.11841	1.12146	7983	0	2
2019.08.13	15:00:00	1.12146	1.12286	1.11700	1.11875	25614	0	2
2019.08.13	18:00:00	1.11876	1.11947	1.11714	1.11754	11776	0	2
2019.08.13	21:00:00	1.11755	1.11783	1.11708	1.11709	4880	0	2
2019.08.14	00:00:00	1.11710	1.11770	1.11698	1.11764	4535	0	2
2019.08.14	03:00:00	1.11764	1.11797	1.11713	1.11754	6617	0	2
2019.08.14	06:00:00	1.11754	1.11773	1.11651	1.11664	4502	0	2
2019.08.14	09:00:00	1.11664	1.11852	1.11646	1.11763	8070	0	2
2019.08.14	12:00:00	1.11763	1.11893	1.11659	1.11835	11420	0	2
2019.08.14	15:00:00	1.11835	1.11907	1.11370	1.11487	17084	0	2
2019.08.14	18:00:00	1.11485	1.11520	1.11356	1.11414	10661	0	2
2019.08.14	21:00:00	1.11414	1.11443	1.11305	1.11377	8170	0	2
2019.08.15	00:00:00	1.11380	1.11451	1.11361	1.11427	6190	0	2
2019.08.15	03:00:00	1.11427	1.11471	1.11391	1.11415	5284	0	2
2019.08.15	06:00:00	1.11415	1.11518	1.11413	1.11484	3361	0	2
2019.08.15	09:00:00	1.11484	1.11537	1.11402	1.11482	13424	0	2
2019.08.15	12:00:00	1.11482	1.11584	1.11399	1.11509	16817	0	2
2019.08.15	15:00:00	1.11509	1.11545	1.10914	1.11072	24573	0	1
2019.08.15	18:00:00	1.11072	1.11189	1.10954	1.11132	9773	0	2
2019.08.15	21:00:00	1.11131	1.11144	1.11007	1.11065	8120	0	2
2019.08.16	00:00:00	1.11065	1.11121	1.11023	1.11103	11900	0	2
2019.08.16	03:00:00	1.11103	1.11113	1.10955	1.10996	3706	0	2
2019.08.16	06:00:00	1.10998	1.11048	1.10982	1.11044	2730	0	2
2019.08.16	09:00:00	1.11044	1.11063	1.10816	1.10841	8182	0	2
